Brand,Series,Screen Size,Color,Hard Disk Size,CPU Model,Ram Memory Installed Size,Operating System,Card Description,Graphics Coprocessor,Special Feature,CPU Speed,Hard Disk Description,Resolution,RAM Memory Maximum Size,Model Name,Item Weight,Price
Acer,PH315-54-760S,15.6 Inches,Black,512 GB,Core i7,16 GB,Windows 11 Home,RTX 3060,NVIDIA GeForce RTX 3060,,,,,,,,"$1,225.55"
Acer,AN515-55-53E5,15.6 Inches,Black,256 GB,Core i5,8 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3050,,,,,,,,$763.00
MSI,Pulse GL66 11UGK-001,15.6 Inches,Core Black,512 GB,Core i7,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce RTX 3070,,,,,,,,"$1,276.99"
ASUS,ASUS TUF Gaming F15,15.6 Inches,Bonfire Black,512 GB,Core i5,8 GB,Windows 11 Home,GTX 1650,,"NVIDIA GeForce GTX 1650 Graphic card, Intel Core i5 CPU, MIL-STD-810H military standard chassis",,,,,,,$699.99
ASUS,ASUS TUF Dash,15.6 Inches,Eclipse Grey,512 GB,Core i7,8 GB,Windows 10 Home,GeForce RTX 3050 Ti,NVIDIA GeForce RTX 3050 Ti,,,,,,,,$948.00
ASUS,TUF Gaming F17,17.3 Inches,Eclipse Gray,1 TB,Core i7,16 GB,Windows 10 Home,RTX 3060,NVIDIA GeForce RTX 3060,,,,,,,,
Acer,PH315-53-71HN,15.6 Inches,Black,512 GB,Corei7-10750H,16 GB,Windows 10 Home,Dedicated,,Multi-touch Gesture,,,,,,,"$1,341.00"
MSI,Stealth 15M A11UEK-009,15.6 Inches,Carbon Gray,512 GB,Core i7,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce RTX 3060,,,,,,,,"$1,149.99"
Lenovo,Legion 5 15,15.6,Phantom Blue,512 GB,Ryzen 7,16 GB,Windows 11,Dedicated,‎NVIDIA GeForce RTX 3050 Ti,,,,,,,,$997.13
Razer,Razer Blade 15 Base,15.6 Inches,Black,256 GB,Corei7-10750H,8 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1650 Ti,,,,,,,,"$1,430.16"
Acer,Nitro 5,15.6 Inches,,1 TB,AMD Ryzen 7,32 GB,Windows 10,Integrated,NVIDIA GeForce RTX 3060,,4.4 GHz,,,,,,"$1,199.00"
MSI,Crosshair 17 A11UEK-066,17.3 Inches,Titanium Gray,512 GB,Core i7 Family,16 GB,Windows 10 Home,Dedicated,,,2.4 GHz,,,,,,"$1,464.00"
MSI,Gaming notebook,15.6 Inches,Black,512 GB,Core i5,8 GB,Windows 10 Home,Dedicated,,,2.7 GHz,,,,,,$858.98
Lenovo,IdeaPad Gaming,15.6 Inches,,1 TB,Ryzen 5,16 GB,Windows 11,Dedicated,GTX1650,,4.2 GHz,,,,,,$849.00
ASUS,TUF506,15.6 Inches,Black,1 TB,Core i7,32 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1660Ti,,,,,,,,"$1,439.99"
ASUS,TUF Gaming F15 Gaming Laptop,15.6 Inches,Mecha Gray,1 TB,Intel Core i7 Extreme,16 GB,Windows 11 Home,RTX 3060,NVIDIA GeForce RTX 3060,,,,,,,,"$1,499.99"
MSI,GF,15.6 Inches,Black,1 TB,Core i5,4 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,$869.99
Lenovo,‎Legion 5 15 Gaming,15.6 Inches,,1 TB,Ryzen 7 5800H,16 GB,Windows 10 Home,Dedicated,NVIDIA GeForce RTX 3050 Ti,,3.2 GHz,,,,,,"$1,285.00"
ASUS,TUF506,15.6 Inches,Gray,1 TB,Core i7,4 GB,Windows 10 Home,Dedicated,RTX 3050,,,,,,,,"$1,249.99"
ASUS,ASUS TUF Gaming F17,17.3 Inches,Eclipse Gray,512 GB,Intel Core i7,16 GB,Windows 10 Home,GeForce RTX 3050 Ti,NVIDIA GeForce RTX 3050,,,,,,,,"$1,149.99"
MSI,,15.6 Inches,Black/red,512 GB,Corei5-10300H,16 GB,Windows 10,Dedicated,NVIDIA GTX 1650 MaxQ,,4.5 GHz,,,,,,$799.00
ASUS,ASUS F17,17.3 Inches,Gray,512 GB,Intel Core i5,16 GB,Windows 10 Home,"Integrated, Dedicated",NVIDIA GeForce RTX 3050,,,,,,,,$999.00
MSI,GF65,15.6 Inches,Black,1 TB,Core i5,32 GB,Windows 10,Dedicated,GeForce RTX™ 3060,,,,,,,,"$1,299.99"
